#Version=1.26C
#Management No,Class,Variable ID,Variable Name,Unit,Upper And Lower Limit Type (0: No/1 : Yes),Lower Limit Value,Upper Limit Value,Data Type,Data Count,Variable Length (0: Fixed / 1: Variable),SECS Data Type,Conversion Option,Value Type (0: Fixed / 1: Setup / 2: Default),Value,CPU Number,Device Type,Device No,Cache No,Comment
1,ECV,1,MDLN,,0,,,ASCII,20,1,ASCII,0,0,GCP-712CRB,1,D,0,0
2,ECV,2,SOFTREV,,0,,,ASCII,10,1,ASCII,0,0,1.26C,1,D,100,0
3,ECV,3,EstablishCommunicationsTimeout,s,1,1,240,U2,1,0,U2,0,2,10,1,R,5008,0,Sec
4,ECV,4,DefaultCommunicationsState,,1,0,1,BOOL,1,0,U1,0,2,1,1,R,5009,0,1:ENABLED/0:DISABLED
5,SV,5,CommunicationsState,,1,1,4,U1,1,0,U1,0,2,1,1,D,9102,0,1:DISABLED/2:WAIT CRA/3:WAIT DELAY/4:COMMUNICATING
6,ECV,6,DefaultControlState,,1,1,4,U1,1,0,U1,0,2,4,1,R,5010,0,1:EquipmentOFF-LINE/2:AttemptON-LINE/3:HostOFF-LINE/4:ON-LINE
7,ECV,7,DefaultOfflineState,,1,1,3,U1,1,0,U1,0,2,3,1,R,5011,0,1:EquipmentOFF-LINE or 3:HostOFF-LINE
8,SV,8,SecsControlState,,1,1,5,U1,1,0,U1,0,2,1,1,D,9105,0,1:EquipmentOFF-LINE/2:AttemptON-LINE/3:HostOFF-LINE/4:LOCAL/5:REMOTE
9,ECV,9,ProcessPartsCount,,1,0,99,U1,1,0,U1,0,0,2,1,D,0,0
10,DVVAL,10,ProcessChangePart,,1,1,99,U1,1,0,U1,0,2,1,1,D,9106,0
11,DVVAL,,ProcessChangeStatus,,1,0,39,U1,1,0,U1,0,2,0,1,D,9107,0,for internal
13,SV,17,AlarmsEnabled,,1,0,1,BOOL,1,0,LIST,0,0,0,1,D,0,0
14,SV,18,AlarmsSet,,0,1,256,U2,256,0,LIST,0,1,0,1,D,9450,0
15,DVVAL,19,AlarmID,,0,,,(=ALID),1,0,(=ALID),0,0,0,1,D,0,0
16,ECV,20,MaxSpoolTransmit,,1,0,4294967295,U4,1,0,U4,0,2,1024,1,R,5013,0
17,ECV,21,OverWriteSpool,,1,0,1,BOOL,1,0,BOOL,0,2,0,1,R,5015,0
18,ECV,22,MaxSpoolCount,,1,1,4294967295,U4,1,0,U4,0,2,32767,1,R,5016,0
19,ECV,23,EnableSpooling,,1,0,1,BOOL,1,0,BOOL,0,2,0,1,R,5018,0,1:ENABLED/0:DISABLED
20,SV,24,SpoolingState,,1,0,131,BIN,1,0,BIN,0,2,0,1,D,9114,0,0:INACTIVE/1:NO OUTPUT/2:TRANSMIT/3:PURGE/Bit8=SpoolFull
21,SV,25,SpoolCountActual,,1,0,4294967295,U4,1,0,U4,0,1,0,1,D,9115,0
22,SV,26,SpoolCountTotal,,1,0,4294967295,U4,1,0,U4,0,1,0,1,D,9116,0
23,SV,27,SpoolFullTime,,0,,,(=Clock),16,0,ASCII,0,1,0,1,D,9117,0
24,SV,28,SpoolStartTime,,0,,,(=Clock),16,0,ASCII,0,1,0,1,D,9125,0
25,SV,60001,Clock,,0,,,DATE-Q,12,0,ASCII,0,2,0,1,D,9133,0
26,ECV,30,TimeFormat,,1,0,1,U1,1,0,U1,0,2,0,1,D,9141,0
27,DVVAL,31,ChangeECID,,0,,,(=ECID),1,0,(=ECID),0,2,0,1,D,9145,0
28,DVVAL,,HostChangeECID,,0,1,32,(=ECID),1,0,(=ECID),0,2,0,1,D,9146,0
29,ECV,33,LimitsSamplingInterval,,1,1000,4294967295,U4,1,0,U4,0,0,5000,1,D,0,0
30,DVVAL,34,EventLimit,,0,,,(=LIMITID),1,0,(=LIMITID),0,0,0,1,D,0,0
31,DVVAL,35,LimitVariable,,0,,,(=VID),1,0,(=VID),0,0,0,1,D,0,0
32,DVVAL,36,TransitionType,,0,,,BIN,1,0,BIN,0,0,0,1,D,0,0,0:to Above 1:to Below
33,SV,37,EventsEnabled,,0,,,(=CEID),1,0,LIST,0,0,0,1,D,0,0
34,DVVAL,38,PPChangeName,,0,,,ASCII,80,0,(=PPID),0,0,PPID,1,D,0,0
35,DVVAL,39,PPChangeStatus,,1,1,3,U1,1,0,U1,0,0,0,1,D,0,0
36,SV,40,PPExecName,,0,,,(=PPID),0,0,LIST,0,0,-,1,D,0,0
37,DVVAL,,PPDeleteResult,,0,,,BIN,1,0,BIN,0,2,0,1,D,9061,0
38,ECV,,PPEnabled,,0,1,1024,(TABLE),50,0,(TABLE),0,1,0,1,R,5200,0,for internal
39,ECV,,EPPD,,0,1,1024,(TABLE),50,0,(TABLE),0,1,0,1,R,5300,0,for internal
257,SV,44,ProcessState,,1,0,32,U1,1,0,U2,0,2,0,1,D,9099,0,1:IDLE/2:SETUP/3:READY/4:EXECUTING/5:PAUSE
258,SV,,PreviousProcessState_part01,,1,0,32,U1,1,0,U4,0,0,0,1,D,2109,0
